Configuración,TE,VAMM,PEX
discrete-comma,100.00%,4.348395e-10,13104.00
discrete-plus,100.00%,5.653138e-11,13104.00
intermediate-comma,100.00%,3.063948e-10,10080.00
intermediate-plus,100.00%,5.605123e-11,9786.00
