Configuración,TE,VAMM,PEX
discrete-comma,20.00%,1.618664e+02,6090.00
discrete-plus,40.00%,1.381787e+02,6090.00
intermediate-comma,0.00%,3.633363e+03,inf
intermediate-plus,0.00%,2.653699e+03,inf
