Configuración,TE,VAMM,PEX
discrete-comma,100.00%,8.082013e-10,15960.00
discrete-plus,100.00%,6.237723e-11,16380.00
intermediate-comma,100.00%,4.144724e-10,14364.00
intermediate-plus,100.00%,7.542117e-11,14700.00
