Configuración,Mejor_Fitness,Vector_Solución
rand/1/bin,1.604617e-05,"[10.001081397627718, 9.997088765861024, 9.999540713470864, 9.999812626950973, 10.001676995193064, 10.001107268814671, 9.999883672326245, 9.999767866366598, 10.001105597846559, 9.999090447460164]"
best/1/bin,4.328968e-08,"[10.000023277849122, 9.999972948099014, 10.00012273479923, 10.000007755430286, 10.000001730340339, 9.999949667099957, 10.000000290385413, 10.000132075893111, 9.999982491862188, 10.000081271021111]"
