Configuración,Mejor_Fitness,Vector_Solución
rand/1/bin,1.986002e-04,"[420.97349695616924, 420.95956297006967, 420.97266881366653, 420.97959275101414, 420.9638719605005, 420.96865048391317, 420.97337729766735, 420.9637209868758, 420.95278283102994, 420.96864779284004]"
best/1/bin,1.273796e-04,"[420.9689749765209, 420.9683632699579, 420.9687395535966, 420.96897756988494, 420.96853537869373, 420.9689501365048, 420.96875891386134, 420.96889095250947, 420.9681010870049, 420.9689650806492]"
