Configuración,Mejor_Fitness,Vector_Solución
discrete-comma,4.852356e-11,"[9.999997749348179, 10.00000002770705, 9.999999139728438, 9.999999178028967, 9.999999398866827, 10.000001082962354, 9.999998694520103, 9.9999980919956, 9.999999453675905, 10.000005904596522]"
discrete-plus,3.787507e-11,"[9.999997702822798, 10.000001527876869, 9.999998106723258, 10.000001864582087, 9.999999844727226, 9.999999194945309, 9.999996556113926, 10.000002597264324, 10.000000738818818, 10.000001838005392]"
intermediate-comma,4.893196e-11,"[9.999998556067878, 10.000002041709868, 10.000001907927722, 10.00000119322665, 10.000001540945238, 9.999999073239403, 10.000001402051774, 9.99999656766372, 10.00000081995521, 10.000004467891392]"
intermediate-plus,5.129550e-11,"[10.000000928203576, 10.000002667211696, 10.000001864082703, 10.000002700748542, 9.999998303900346, 10.000001614318284, 9.999997810581295, 10.000004404225407, 10.000001686924275, 10.00000017840514]"
