Configuración,Mejor_Fitness,Vector_Solución
discrete-comma,1.272757e-04,"[420.9687463859918, 420.9687458375717, 420.96874006212005, 420.9687428764662, 420.9687463811203, 420.9687481243226, 420.9687469387882, 420.9687422190416, 420.96874553951636, 420.96874377597675]"
discrete-plus,1.272757e-04,"[420.96874912891366, 420.9687488652016, 420.96874952866506, 420.96874851491737, 420.9687461647975, 420.9687452365323, 420.96874888760095, 420.9687442035356, 420.96874810396116, 420.96874932062184]"
intermediate-comma,3.016646e+03,"[167.45902228520546, 192.8712927530908, 183.01645701255958, 85.77561309993482, 210.6926598582745, -131.224486505497, 195.22337626616775, -279.5029465676171, -95.31756759077602, -43.50486929923568]"
intermediate-plus,2.428274e+03,"[411.1267818943378, 4.311241894284251, -12.104780757455273, 398.26146045517373, 450.06276824183624, 4.446371109632878, 408.4704237498829, 152.79758505044572, 474.6674072808528, 463.47745378813636]"
