Configuración,Mejor_Fitness,Vector_Solución
discrete-comma,1.272757e-04,"[420.968747063362, 420.96874166792935, 420.9687522441161, 420.9687460339271, 420.96875266284343, 420.9687490752432, 420.9687502714852, 420.96874836868534, 420.9687429212705, 420.9687439849385]"
discrete-plus,1.272757e-04,"[420.9687492170356, 420.96874725653595, 420.9687521227641, 420.9687466428915, 420.9687426121952, 420.9687474409269, 420.9687495923502, 420.9687470823268, 420.9687457552213, 420.9687502916634]"
intermediate-comma,3.003598e+03,"[169.05174488263464, 192.56014234109674, 183.41990753207665, 85.68248438220758, 208.88049742132532, -129.4160324646412, 195.90713029563358, -278.7846885545516, -94.63233922869694, -42.92261244280793]"
intermediate-plus,2.428274e+03,"[411.1267818943378, 4.311241894284251, -12.104780757455273, 398.26146045517373, 450.06276824183624, 4.446371109632878, 408.4704237498829, 152.79758505044572, 474.6674072808528, 463.47745378813636]"
