Configuración,Mejor_Fitness,Vector_Solución
discrete-comma,1.625784e-10,"[10.000001133221893, 9.99999836865601, 10.000000263020851, 9.999998977291787, 9.999994349535582, 10.000002272196541, 9.999992734376429, 10.000003550154961, 9.999994758222094, 9.999994750426614]"
discrete-plus,3.224676e-11,"[10.000000365312802, 10.000000559738462, 9.999999041971924, 10.000001460288402, 10.000001773793981, 10.000001613455913, 9.99999876935335, 9.999997267753486, 9.999996255675802, 10.000000022990148]"
intermediate-comma,6.220285e-11,"[9.999994041507062, 9.999999052095253, 9.999998895381939, 10.00000114712503, 10.000003013872655, 9.999999842970785, 9.999996677105257, 9.999999763278582, 10.00000162750665, 10.000000640377621]"
intermediate-plus,5.966823e-11,"[9.999997146410276, 10.000001538045748, 10.000000224677223, 10.000002433162589, 10.00000388597821, 9.99999979503212, 10.00000437773695, 9.999998268750986, 10.000000335066698, 10.000002402499177]"
